,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2024,"637,342","519,395","590,937","472,990","552,441","434,494","111,547","117,947","107,366","102,376","90,514","11,862","10,581","17,226","10,032","5,589","7,194","1,622","5,572","32,796","28,658","1,158","3,035","79,813","72,636","69,450","5,007","36,394","31,026","46,405","19,188","13,579","2,265","7,725","1,550","2,241","7,087","4,061","1,504",802,"66,153","8,884","1,679","7,205","57,269","49,320","7,949","13,030","1,893",733,"1,160","1,903","116,402","105,499","5,165","84,901","75,848","38,763"
Feb. 2024,"644,825","518,529","597,462","471,166","555,528","429,232","115,707","126,296","115,944","109,399","95,883","13,516","10,352","17,610","10,343","5,705","7,267","1,711","5,556","33,820","29,585","1,273","2,885","76,955","69,307","66,099","5,360","34,588","28,883","47,363","22,005","15,100","2,650","8,566","1,547","2,774","6,891","4,126","1,519",559,"67,287","9,513","2,134","7,379","57,774","49,609","8,165","13,391","1,914",660,"1,254","1,931","109,322","98,984","4,596","89,297","79,515","39,745"
Mar. 2024,"707,637","567,110","654,589","514,062","609,462","468,935","129,000","140,527","128,903","119,945","105,692","14,253","11,624","18,230","11,022","5,995","7,208","1,769","5,439","38,696","33,298","1,417","3,271","83,248","74,795","71,342","5,876","36,238","29,894","53,048","24,986","18,060","3,235","10,454","1,740","3,179","7,992","4,991","1,669",596,"75,692","10,485","2,317","8,168","65,207","56,073","9,134","14,938","2,100",661,"1,439","2,190","115,867","106,154","3,563","98,175","87,407","43,992"
Apr. 2024,"700,302","561,592","645,366","506,656","605,419","466,709","121,802","138,710","126,921","117,827","103,876","13,951","11,789","17,609","10,635","5,562","6,974","1,741","5,233","44,866","38,192","1,563","3,681","78,846","70,765","67,223","5,646","35,467","29,687","54,936","23,993","17,324","3,052","10,067","1,601","2,902","7,332","4,573","1,470",596,"70,741","9,871","2,332","7,539","60,870","52,046","8,824","15,387","2,127",649,"1,478","2,038","117,532","108,547","3,082","94,883","83,956","43,230"
May 2024,"744,554","599,690","686,946","542,082","643,843","498,979","134,944","144,864","132,656","122,586","108,436","14,150","12,208","19,075","11,431","6,007","7,644","1,876","5,768","48,452","41,316","1,650","4,030","85,908","76,837","73,068","6,385","37,256","31,139","57,608","27,562","19,691","3,416","11,542","1,763","3,224","8,020","5,128","1,544",634,"77,840","11,054","2,643","8,411","66,786","57,041","9,745","16,610","2,447",644,"1,803","2,220","120,648","112,078","2,297","100,711","89,624","45,620"
Jun. 2024,"701,555","570,931","646,232","515,608","604,360","473,736","129,215","130,624","118,881","109,412","96,318","13,094","11,743","18,107","10,826","5,885","7,281","1,858","5,423","43,795","37,893","1,597","3,862","82,828","73,990","70,383","6,273","35,656","29,587","55,323","25,121","18,126","2,845","10,921","1,840","2,969","8,152","5,399","1,488",593,"75,183","10,569","2,339","8,230","64,614","55,582","9,032","15,739","2,652",596,"2,056","2,023","113,832","106,244","1,829","97,195","87,201","44,465"
Jul. 2024,"726,098","585,742","668,631","528,275","629,309","488,953","129,958","140,356","128,325","119,163","105,392","13,771","12,031","19,050","11,391","6,157","7,659","1,942","5,717","44,088","39,157","1,632","3,664","85,233","76,240","72,737","6,375","37,342","31,642","57,467","25,453","18,266","2,932","11,085","1,767","3,462","7,998","5,210","1,513",587,"74,852","10,440","2,123","8,317","64,412","55,711","8,701","15,482","2,605",697,"1,908","2,063","121,988","113,927","2,025","96,789","87,472","45,004"
Aug. 2024,"733,560","590,123","676,701","533,264","633,664","490,227","137,230","143,437","131,084","122,688","108,560","14,128","12,353","19,596","11,941","6,333","7,655","1,902","5,753","42,930","38,245","1,668","3,819","85,262","76,348","72,877","6,324","38,044","31,834","56,859","27,215","19,340","3,057","11,808","1,879","4,067","8,893","5,539","1,692",881,"78,633","11,398","2,262","9,136","67,235","58,183","9,052","15,760","2,893",874,"2,019","2,092","117,035","109,273","2,100","99,896","89,063","45,196"
Sep. 2024,"683,558","555,090","632,095","503,627","589,777","461,309","123,313","128,468","117,141","109,901","96,915","12,986","11,327","18,298","11,285","6,097","7,013","1,761","5,252","40,357","35,683","1,525","3,337","81,116","72,811","69,663","5,768","37,655","31,867","51,463","23,088","16,548","2,678","9,956","1,515","2,720","7,761","4,565","1,669",772,"71,583","9,870","2,184","7,686","61,713","53,107","8,606","15,349","2,583",651,"1,932","2,179","114,639","106,776","2,202","93,781","82,318","41,668"
Oct. 2024,"730,720","592,932","676,690","538,902","633,013","495,225","131,388","137,788","125,638","118,498","105,358","13,140","12,150","18,809","11,446","6,033","7,363","1,799","5,564","44,987","39,378","1,618","3,680","84,687","75,931","72,693","6,104","39,693","33,963","54,030","25,318","18,357","2,933","11,185","1,603","2,833","7,867","4,610","1,874",590,"76,276","10,448","2,305","8,143","65,828","56,508","9,320","16,673","3,118",629,"2,489","2,215","126,885","117,553","3,066","97,707","85,793","43,775"
